"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Duncan_Above Weir",2019,0.503,0.04,0.426,0.502,0.582
"Grays_Chinook",2020,0.468,0.038,0.395,0.469,0.542
"Elochoman_Skamokawa",2020,0.422,0.038,0.348,0.422,0.496
"Abernathy",2020,0.451,0.049,0.355,0.451,0.549
"Abernathy_Above AFTC",2020,0.473,0.049,0.379,0.472,0.569
"Mill",2020,0.485,0.05,0.388,0.485,0.584
"Germany",2020,0.486,0.05,0.388,0.485,0.586
"Upper Cowlitz and Cispus",2020,0.477,0.052,0.373,0.477,0.58
"Tilton",2020,0.476,0.052,0.375,0.476,0.578
"Lower Cowlitz",2020,0.45,0.047,0.357,0.451,0.542
"Delameter_Above Weir",2020,0.48,0.048,0.387,0.48,0.574
"Lacamas_Above Weir",2020,0.486,0.051,0.386,0.486,0.589
"Olequa_Above Weir",2020,0.455,0.051,0.352,0.455,0.554
"Ostrander_Above Weir",2020,0.448,0.047,0.355,0.448,0.539
"Green",2020,0.483,0.042,0.4,0.483,0.565
"Upper NF Toutle",2020,0.476,0.052,0.376,0.476,0.579
"NF_MS Toutle",2020,0.491,0.052,0.391,0.49,0.595
"SF Toutle",2020,0.47,0.045,0.381,0.47,0.559
"Coweeman",2020,0.488,0.047,0.397,0.488,0.581
"Kalama",2020,0.525,0.048,0.434,0.524,0.621
"Lower Lewis",2020,0.535,0.029,0.479,0.534,0.591
"Upper NF Lewis",2020,0.476,0.052,0.374,0.476,0.579
"Cedar",2020,0.569,0.024,0.522,0.569,0.616
"EF Lewis",2020,0.456,0.041,0.375,0.456,0.536
"Salmon Creek",2020,0.465,0.049,0.367,0.466,0.563
"Washougal",2020,0.496,0.041,0.417,0.496,0.577
"Lower Gorge",2020,0.449,0.047,0.356,0.45,0.54
"Duncan_Above Weir",2020,0.407,0.048,0.31,0.407,0.499
"Grays_Chinook",2021,0.48,0.021,0.438,0.48,0.522
"Elochoman_Skamokawa",2021,0.456,0.028,0.4,0.455,0.51
"Abernathy",2021,0.477,0.05,0.38,0.476,0.577
